,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
588,0.060598,0.00621,0.5,-2.0,-1.0,0.75,0.015692,0.015692,0.968617,0.988231,0.988231,1.022154,64,-0.0084327768714797,-0.0017530382013036,0.0,True,False,True,False
589,0.060598,0.00621,0.5,-2.0,-1.0,1.0,0.015654,0.015654,0.968693,0.984346,0.984346,1.022083,64,-0.0084881579504349,-0.0017422429901572,0.0,True,False,True,False
590,0.060598,0.00621,0.5,-2.0,-0.8,0.0,0.015367,0.015367,0.969266,1.0,1.0,1.021913,64,-0.0093535489238389,-0.0017393253217199,0.0,True,False,True,False
591,0.060598,0.00621,0.5,-2.0,-0.8,0.25,0.015331,0.015331,0.969338,0.996167,0.996167,1.021846,64,-0.0094018868134261,-0.0017289043830185,0.0,True,False,True,False
592,0.060598,0.00621,0.5,-2.0,-0.8,0.5,0.015296,0.015296,0.969409,0.992352,0.992352,1.021778,64,-0.0094494715722721,-0.0017186508791815,0.0,True,False,True,False
593,0.060598,0.00621,0.5,-2.0,-0.8,0.75,0.01526,0.01526,0.969479,0.988555,0.988555,1.021712,64,-0.0094972650994518,-0.0017083450607801,0.0,True,False,True,False
594,0.060598,0.00621,0.5,-2.0,-0.8,1.0,0.015225,0.015225,0.96955,0.984775,0.984775,1.021645,64,-0.0095443186158806,-0.0016982038230796,0.0,True,False,True,False
595,0.060598,0.00621,0.5,-2.0,-0.6,0.0,0.014949,0.014949,0.970103,1.0,1.0,1.021479,64,-0.0103880892588621,-0.0016949117945074,0.0,True,False,True,False
596,0.060598,0.00621,0.5,-2.0,-0.6,0.25,0.014916,0.014916,0.970169,0.996271,0.996271,1.021416,64,-0.010428627489637,-0.0016851389011526,0.0,True,False,True,False
597,0.060598,0.00621,0.5,-2.0,-0.6,0.5,0.014883,0.014883,0.970234,0.992559,0.992559,1.021354,64,-0.0104689372918574,-0.0016754177377528,0.0,True,False,True,False
598,0.060598,0.00621,0.5,-2.0,-0.6,0.75,0.01485,0.01485,0.9703,0.988862,0.988862,1.021291,64,-0.0105090532806289,-0.0016657480615032,0.0,True,False,True,False
599,0.060598,0.00621,0.5,-2.0,-0.6,1.0,0.014818,0.014818,0.970365,0.985182,0.985182,1.021229,64,-0.0105485030712964,-0.0016562364972309,0.0,True,False,True,False
600,0.060598,0.00621,0.5,-2.0,-0.4,0.0,0.014551,0.014551,0.970898,1.0,1.0,1.021067,64,-0.0113716693726263,-0.0016524740430846,0.0,True,False,True,False
