,Unnamed: 0,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,C_D,difference,x_pos_invades,x_neg_invades,y_pos_invades,y_neg_invades
26,26,0.0,0.02275,0.0,-2.0,-1.0,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.13470497773079698,-0.0,0.0,False,False,False,False
27,27,0.0,0.02275,0.0,-2.0,-1.0,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.13394369921186636,-0.0,0.0,False,False,False,False
28,28,0.0,0.02275,0.0,-2.0,-1.0,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.13318767743494245,-0.0,0.0,False,False,False,False
29,29,0.0,0.02275,0.0,-2.0,-1.0,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.1324367985344642,-0.0,0.0,False,False,False,False
30,30,0.0,0.02275,0.0,-2.0,-0.8,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.1369802164915066,-0.0,0.0,False,False,True,True
31,31,0.0,0.02275,0.0,-2.0,-0.8,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.13619179799909584,-0.0,0.0,False,False,False,False
32,32,0.0,0.02275,0.0,-2.0,-0.8,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.13540925914841226,-0.0,0.0,False,False,False,False
33,33,0.0,0.02275,0.0,-2.0,-0.8,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.13463228557632725,-0.0,0.0,False,False,False,False
34,34,0.0,0.02275,0.0,-2.0,-0.8,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.1338607578337771,-0.0,0.0,False,False,False,False
35,35,0.0,0.02275,0.0,-2.0,-0.6,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.13848857931053946,-0.0,0.0,False,False,True,True
36,36,0.0,0.02275,0.0,-2.0,-0.6,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.13767861826739478,-0.0,0.0,False,False,False,False
37,37,0.0,0.02275,0.0,-2.0,-0.6,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.1368748190849581,-0.0,0.0,False,False,False,False
38,38,0.0,0.02275,0.0,-2.0,-0.6,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.136076893717712,-0.0,0.0,False,False,False,False
39,39,0.0,0.02275,0.0,-2.0,-0.6,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.13528471713308998,-0.0,0.0,False,False,False,False
40,40,0.0,0.02275,0.0,-2.0,-0.4,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.1399969421295723,-0.0,0.0,False,False,True,True
41,41,0.0,0.02275,0.0,-2.0,-0.4,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.13916543853569366,-0.0,0.0,False,False,False,False
42,42,0.0,0.02275,0.0,-2.0,-0.4,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.13834037902150392,-0.0,0.0,False,False,False,False
43,43,0.0,0.02275,0.0,-2.0,-0.4,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.13752150185909676,-0.0,0.0,False,False,False,False
44,44,0.0,0.02275,0.0,-2.0,-0.4,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.1367086764324029,-0.0,0.0,False,False,False,False
45,45,0.0,0.02275,0.0,-2.0,-0.2,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14150530494860514,-0.0,0.0,False,False,True,True
46,46,0.0,0.02275,0.0,-2.0,-0.2,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14065225880399254,-0.0,0.0,False,False,False,False
47,47,0.0,0.02275,0.0,-2.0,-0.2,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.1398059389580498,-0.0,0.0,False,False,False,False
48,48,0.0,0.02275,0.0,-2.0,-0.2,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.13896611000048156,-0.0,0.0,False,False,False,False
49,49,0.0,0.02275,0.0,-2.0,-0.2,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.1381326357317158,-0.0,0.0,False,False,False,False
50,50,0.0,0.02275,0.0,-2.0,-0.0,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14301366776763805,-0.0,0.0,False,False,True,True
51,51,0.0,0.02275,0.0,-2.0,-0.0,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14213907907229145,-0.0,0.0,False,False,False,False
52,52,0.0,0.02275,0.0,-2.0,-0.0,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.14127149889459564,-0.0,0.0,False,False,False,False
53,53,0.0,0.02275,0.0,-2.0,-0.0,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.14041071814186631,-0.0,0.0,False,False,False,False
54,54,0.0,0.02275,0.0,-2.0,-0.0,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.1395565950310287,-0.0,0.0,False,False,False,False
55,55,0.0,0.02275,0.0,-2.0,0.2,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14452203058667087,-0.0,0.0,False,False,True,True
56,56,0.0,0.02275,0.0,-2.0,0.2,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14362589934059036,-0.0,0.0,False,False,False,False
57,57,0.0,0.02275,0.0,-2.0,0.2,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.1427370588311415,-0.0,0.0,False,False,False,False
58,58,0.0,0.02275,0.0,-2.0,0.2,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.1418553262832511,-0.0,0.0,False,False,False,False
59,59,0.0,0.02275,0.0,-2.0,0.2,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.14098055433034162,-0.0,0.0,False,False,False,False
60,60,0.0,0.02275,0.0,-2.0,0.4,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14603039340570373,-0.0,0.0,False,False,True,True
61,61,0.0,0.02275,0.0,-2.0,0.4,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14511271960888925,-0.0,0.0,False,False,False,False
62,62,0.0,0.02275,0.0,-2.0,0.4,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.14420261876768736,-0.0,0.0,False,False,False,False
63,63,0.0,0.02275,0.0,-2.0,0.4,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.14329993442463587,-0.0,0.0,False,False,False,False
64,64,0.0,0.02275,0.0,-2.0,0.4,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.14240451362965453,-0.0,0.0,False,False,False,False
65,65,0.0,0.02275,0.0,-2.0,0.6,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14753875622473658,-0.0,0.0,False,False,True,True
66,66,0.0,0.02275,0.0,-2.0,0.6,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14659953987718816,-0.0,0.0,False,False,False,False
